TIME,DBTM,DMEA,BPOS,HKLA,HKLX,WOBA,WOBX,TQA,TQX,RPMA,SPPA,CHKP,SPM1,SPM2,TVCA,MFOP,MDOA,MDIA,MTOA,MTIA,MCOA,MCIA,STKC,DRTM,SPR2,SPR3,SPR4,SPR5,SPR6,SPR7,SPR13,SPR14,SPR15,SPR20,SPR21,SPR22,SPR23
2016-11-08T192720.000Z,419.5681,419.5681,-3.721056,40.64371,40.64371,9.784443,9.784443,0.0,0.0,0,88.50594,0.0,63,77,-1.620785,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126076,427.0,90.47064,212.1838,0.0,0.0,91,495.3851,179.6569,0.0,0.0,2.367934,25.27794,141,6659
2016-11-08T192722.000Z,419.5793,419.5793,-3.732281,39.26386,39.26386,11.11047,11.11047,0.0,0.0,0,88.84189,0.0,63,77,-1.554295,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126078,427.0,90.47064,211.9627,0.0,0.0,89,469.7508,179.6569,0.0,0.0,2.367934,25.27794,141,6663
2016-11-08T192724.000Z,419.5793,419.5793,-3.732281,38.81993,38.81993,11.57545,11.57545,0.0,0.0,0,88.95103,0.0,63,77,-1.531048,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126080,427.0,90.28686,211.3232,0.0,0.0,87,500.3909,179.6569,0.0,0.0,2.367934,25.27794,141,6663
2016-11-08T192726.000Z,419.5793,419.5793,-3.732281,38.81993,38.81993,11.57545,11.57545,0.0,0.0,0,88.95103,0.0,63,77,-1.531048,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126080,427.0,90.28686,211.3232,0.0,0.0,87,500.3909,179.6569,0.0,0.0,2.367934,25.27794,141,6663
2016-11-08T192728.000Z,419.5937,419.5937,-3.746637,38.51597,38.51597,11.84381,11.84381,0.0,0.0,0,88.95103,0.0,63,77,-1.531048,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126080,427.0,90.28686,211.3232,0.0,0.0,86,503.9193,179.6569,0.0,0.0,2.367934,25.27794,141,6663
2016-11-08T192731.000Z,419.5937,419.5937,-3.746637,38.51597,38.51597,11.84381,11.84381,0.0,0.0,0,88.95103,0.0,63,77,-1.559425,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126083,427.0,90.28686,211.3232,0.0,0.0,86,503.9193,179.6569,0.0,0.0,2.367934,25.27794,141,6668
2016-11-08T192733.000Z,419.5937,419.5937,-3.746637,39.01999,39.01999,11.46099,11.46099,0.0,0.0,0,88.95103,0.0,63,77,-1.559425,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126083,427.0,90.28686,210.9631,0.0,0.0,88,510.6765,179.6569,0.0,0.0,2.367934,25.27794,141,6668
2016-11-08T192735.000Z,419.6175,419.6175,-3.77049,40.174,40.174,10.23527,10.23527,0.0,0.0,0,88.53289,0.0,63,77,-1.535709,0,1.158896,1.053621,0.0,41.55839,0.0,15.69088,4126092,427.0,90.47998,210.9631,0.0,0.0,88,506.9019,179.6569,0.0,0.0,2.367934,25.27794,141,6677
2016-11-08T192737.000Z,419.6175,419.6175,-3.77049,40.42301,40.42301,9.987977,9.987977,0.0,0.0,0,88.38477,0.0,63,77,-1.591755,0,1.158896,1.053621,0.0,41.55839,0.0,15.69088,4126094,427.0,90.47998,211.1126,0.0,0.0,89,509.1282,179.6569,0.0,0.0,2.367934,25.27794,141,6677
2016-11-08T192739.000Z,419.638,419.638,-3.790998,41.2035,41.2035,9.20227,9.20227,0.0,0.0,0,88.62663,0.0,63,77,-1.659779,0,1.158896,1.053621,0.0,41.55839,0.0,15.69088,4126097,427.0,90.47998,211.4252,0.0,0.0,91,475.4994,179.6569,0.0,0.0,2.367934,25.27794,141,6683
2016-11-08T192741.000Z,419.638,419.638,-3.790998,41.42976,41.42976,8.980714,8.980714,0.0,0.0,0,88.62663,0.0,63,77,-1.69379,0,1.158896,1.053621,0.0,41.55839,0.0,15.69088,4126099,427.0,90.60597,210.9424,0.0,0.0,92,499.7438,179.6569,0.0,0.0,2.367934,24.96979,141,6683
2016-11-08T192743.000Z,419.6435,419.6435,-3.796502,40.72289,40.72289,9.682136,9.682136,0.0,0.0,0,88.62663,0.0,63,77,-1.770798,0,1.158896,1.053621,0.0,41.55839,0.0,15.69088,4126102,427.0,90.49471,210.9424,0.0,0.0,92,470.6148,179.6569,0.0,0.0,2.367934,24.96979,141,6687
2016-11-08T192745.000Z,419.6435,419.6435,-3.796502,40.20544,40.20544,10.18829,10.18829,0.0,0.0,0,88.34422,0.0,63,77,-1.799301,0,1.158896,1.053621,0.0,42.23087,0.0,15.69088,4126104,427.0,90.62356,211.3713,0.0,0.0,92,470.6148,179.6569,0.0,0.0,2.367934,24.96979,141,6687
2016-11-08T192747.000Z,419.6716,419.6716,-3.824566,41.50473,41.50473,8.929887,8.929887,0.0,0.0,0,88.17278,0.0,63,77,-1.799301,0,1.158896,1.053621,0.0,42.23087,0.0,15.69088,4126107,427.0,90.62356,211.8875,0.0,0.0,91,464.6033,179.6569,0.0,0.0,2.367934,24.96979,141,6692
2016-11-08T192749.000Z,419.6716,419.6716,-3.824566,39.94037,39.94037,10.42981,10.42981,0.0,0.0,0,88.73413,0.0,63,77,-1.770676,0,1.158896,1.053621,0.0,42.23087,0.0,15.69088,4126109,427.0,90.62356,211.6485,0.0,0.0,89,500.2073,179.6569,0.0,0.0,2.367934,24.96979,141,6692
2016-11-08T192751.000Z,419.6842,419.6842,-3.837194,39.73219,39.73219,10.6685,10.6685,0.0,0.0,0,88.95599,0.0,63,77,-1.770676,0,1.158896,1.053621,0.0,42.23087,0.0,15.69088,4126111,427.0,90.62356,211.5121,0.0,0.0,89,489.3462,179.6569,0.0,0.0,2.367934,24.96979,141,6696
2016-11-08T192753.000Z,419.6842,419.6842,-3.837194,39.4641,39.4641,10.93525,10.93525,0.0,0.0,0,89.06692,0.0,63,77,-1.738522,0,1.158896,1.053621,0.0,42.23087,0.0,15.69088,4126114,427.0,90.62356,211.4059,0.0,0.0,91,499.018,179.6569,0.0,0.0,2.367934,24.96979,141,6696
2016-11-08T192755.000Z,419.7098,419.7098,-3.862775,40.23205,40.23205,10.17371,10.17371,0.0,0.0,0,88.7106,0.0,63,77,-1.803162,0,1.158896,1.053621,0.0,42.23087,0.0,15.69088,4126116,427.0,90.81677,211.4059,0.0,0.0,92,470.0341,179.6569,0.0,0.0,2.367934,25.09939,141,6701
2016-11-08T192757.000Z,419.7098,419.7098,-3.862775,39.71403,39.71403,10.61365,10.61365,0.0,0.0,0,88.53245,0.0,63,77,-1.815483,0,1.158896,1.053621,0.0,41.13161,0.0,15.69088,4126118,427.0,90.81677,211.4059,0.0,0.0,90,495.3716,179.6569,0.0,0.0,2.367934,25.09939,141,6701
2016-11-08T192759.000Z,419.7098,419.7098,-3.862775,37.81502,37.81502,12.54763,12.54763,0.0,0.0,0,88.85515,0.0,63,77,-1.881645,0,1.158896,1.053621,0.0,41.13161,0.0,15.69088,4126121,427.0,90.69553,211.4059,0.0,0.0,89,498.5924,179.6569,0.0,0.0,2.367934,25.57307,141,6706
2016-11-08T192801.000Z,419.7381,419.7381,-3.891053,39.65351,39.65351,10.79323,10.79323,0.0,0.0,0,88.85515,0.0,63,77,-1.904724,0,1.158896,1.053621,0.0,41.13161,0.0,15.69088,4126123,427.0,90.80842,211.0995,0.0,0.0,89,514.2838,179.6569,0.0,0.0,2.367934,25.57307,141,6706
2016-11-08T192804.000Z,419.7381,419.7381,-3.891053,38.19476,38.19476,12.1778,12.1778,0.0,0.0,0,89.1854,0.0,63,77,-1.916264,0,1.158896,1.053621,0.0,41.13161,0.0,15.69088,4126125,427.0,90.80842,211.0995,0.0,0.0,90,518.9681,179.6569,0.0,0.0,2.367934,25.57307,141,6710
2016-11-08T192806.000Z,419.7381,419.7381,-3.891053,38.19476,38.19476,12.1778,12.1778,0.0,0.0,0,89.00515,0.0,63,77,-1.962032,0,1.158896,1.053621,0.0,41.13161,0.0,15.69088,4126127,427.0,90.62726,211.0995,0.0,0.0,91,513.5352,179.6569,0.0,0.0,2.367934,25.57307,141,6710
